Time [s],Burn Time [s],distance surface,AirDensity [kg/m3],AirPressure [kPa],AirTemprature [K],SpeedOfSound [m/s],Propellant Mass [kg],Mass [kg],Thrust [N],Fx-aero [N],Fy-aero [N],Fz-aero [N],Fx-thrust [N],Fy-thrust [N],Fz-thrust [N],Fx-gravity [N],Fy-gravity [N],Fz-gravity [N],Accx-body [m/s2],Accy-body [m/s2],Accz-body [m/s2],Gccx-body [G],Gccy-body [G],Gccz-body [G],Accx-ECI [m/s2],Accy-ECI [m/s2],Accz-ECI [m/s2],Vx-body [m/s],Vy-body [m/s],Vz-body [m/s],MachNumber [-],DynamicPressure [kPa],Vx-NED [m/s],Vy-NED [m/s],Vz-NED [m/s],Vx-ECEF [m/s],Vy-ECEF [m/s],Vz-ECEF [m/s],Vx-ECI [m/s],Vy-ECI [m/s],Vz-ECI [m/s],X-ECEF [km],Y-ECEF [km],Z-ECEF [km],X-ECI [km],Y-ECI [km],Z-ECI [km],Latitude [deg],Longitude [deg],Altitude [m],Azimuth [deg],Elvation [deg],Roll [deg],Time [s],Time of IIP [s],Latitude of IIP [deg],Longitude of IIP [deg],
0.0000,0.0000,322,1.222650,101.085027,288.019994,340.217225,0.00000000,13000.00000000,190000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-356.06277806,92.16366118,0.00000000,1263.8810712186,4882.8464452246,3890.9200376060,1263.8810712186,4882.8464452246,3890.9200376060,37.83400000,75.48800000,20.00000000,270.00000000,85.00000000,0.00000000,0.0000,nan,nan,nan,
0.1000,0.5500,322,1.222568,101.076593,288.015459,340.214547,-34.58211912,12965.41788088,186824.58519354,-1.79422776,0.00000000,0.00000000,186824.58519354,0.00000000,0.00000000,-126892.21680976,0.00000000,0.00000000,4.61004417,0.00000000,0.00000000,0.47049484,0.00000000,0.00000000,1.29772903,3.41076457,2.81692947,2.54717266,-0.00904254,-0.00093450,0.00748701,0.00396611,-0.00904254,-0.22106978,-2.53756135,0.71761030,1.89017493,1.54933709,-355.34897756,94.03959872,1.54933709,1263.8812685553,4882.8469650275,3890.9204636755,1263.6854329901,4882.8976511219,3890.9204636755,37.83399998,75.48799931,20.69781137,-90.00000000,85.00000000,0.00000000,0.5500,nan,nan,nan,
0.2000,0.5500,322,1.222568,101.076593,288.015459,340.214547,-34.58211912,12965.41788088,186824.58519354,-1.79422776,0.00000000,0.00000000,186824.58519354,0.00000000,0.00000000,-126892.21680976,0.00000000,0.00000000,4.61004417,0.00000000,0.00000000,0.47049484,0.00000000,0.00000000,1.29772903,3.41076457,2.81692947,2.54717266,-0.00904254,-0.00093450,0.00748701,0.00396611,-0.00904254,-0.22106978,-2.53756135,0.71761030,1.89017493,1.54933709,-355.34897756,94.03959872,1.54933709,1263.8812685553,4882.8469650275,3890.9204636755,1263.6854329901,4882.8976511219,3890.9204636755,37.83399998,75.48799931,20.69781137,-90.00000000,85.00000000,0.00000000,0.5500,nan,nan,nan,
0.3000,0.5500,322,1.222568,101.076593,288.015459,340.214547,-34.58211912,12965.41788088,186824.58519354,-1.79422776,0.00000000,0.00000000,186824.58519354,0.00000000,0.00000000,-126892.21680976,0.00000000,0.00000000,4.61004417,0.00000000,0.00000000,0.47049484,0.00000000,0.00000000,1.29772903,3.41076457,2.81692947,2.54717266,-0.00904254,-0.00093450,0.00748701,0.00396611,-0.00904254,-0.22106978,-2.53756135,0.71761030,1.89017493,1.54933709,-355.34897756,94.03959872,1.54933709,1263.8812685553,4882.8469650275,3890.9204636755,1263.6854329901,4882.8976511219,3890.9204636755,37.83399998,75.48799931,20.69781137,-90.00000000,85.00000000,0.00000000,0.5500,nan,nan,nan,
0.4000,0.5500,322,1.222568,101.076593,288.015459,340.214547,-34.58211912,12965.41788088,186824.58519354,-1.79422776,0.00000000,0.00000000,186824.58519354,0.00000000,0.00000000,-126892.21680976,0.00000000,0.00000000,4.61004417,0.00000000,0.00000000,0.47049484,0.00000000,0.00000000,1.29772903,3.41076457,2.81692947,2.54717266,-0.00904254,-0.00093450,0.00748701,0.00396611,-0.00904254,-0.22106978,-2.53756135,0.71761030,1.89017493,1.54933709,-355.34897756,94.03959872,1.54933709,1263.8812685553,4882.8469650275,3890.9204636755,1263.6854329901,4882.8976511219,3890.9204636755,37.83399998,75.48799931,20.69781137,-90.00000000,85.00000000,0.00000000,0.5500,nan,nan,nan,
0.5000,0.5500,322,1.222568,101.076593,288.015459,340.214547,-34.58211912,12965.41788088,186824.58519354,-1.79422776,0.00000000,0.00000000,186824.58519354,0.00000000,0.00000000,-126892.21680976,0.00000000,0.00000000,4.61004417,0.00000000,0.00000000,0.47049484,0.00000000,0.00000000,1.29772903,3.41076457,2.81692947,2.54717266,-0.00904254,-0.00093450,0.00748701,0.00396611,-0.00904254,-0.22106978,-2.53756135,0.71761030,1.89017493,1.54933709,-355.34897756,94.03959872,1.54933709,1263.8812685553,4882.8469650275,3890.9204636755,1263.6854329901,4882.8976511219,3890.9204636755,37.83399998,75.48799931,20.69781137,-90.00000000,85.00000000,0.00000000,0.5500,nan,nan,nan,
0.6000,1.3000,322,1.222192,101.038202,287.994654,340.202259,-81.73973032,12918.26026968,186825.79128393,-10.02010183,0.00000000,0.00000000,186825.79128393,0.00000000,0.00000000,-126892.08945443,0.00000000,0.00000000,4.60951398,0.00000000,0.00000000,0.47044073,0.00000000,0.00000000,1.29739345,3.41044320,2.81660549,6.02036031,-0.02135574,-0.00194823,0.01769653,0.02214929,-0.02135574,-0.52276815,-5.99762082,1.69634952,4.46742340,3.66192908,-354.37579910,96.59757148,3.66192908,1263.8821737796,4882.8493491519,3890.9224179155,1263.4192862146,4882.9691400758,3890.9224179155,37.83399987,75.48799614,23.89853106,-90.00000000,85.00000000,0.00000000,1.3000,nan,nan,nan,
0.7000,1.3000,322,1.222192,101.038202,287.994654,340.202259,-81.73973032,12918.26026968,186825.79128393,-10.02010183,0.00000000,0.00000000,186825.79128393,0.00000000,0.00000000,-126892.08945443,0.00000000,0.00000000,4.60951398,0.00000000,0.00000000,0.47044073,0.00000000,0.00000000,1.29739345,3.41044320,2.81660549,6.02036031,-0.02135574,-0.00194823,0.01769653,0.02214929,-0.02135574,-0.52276815,-5.99762082,1.69634952,4.46742340,3.66192908,-354.37579910,96.59757148,3.66192908,1263.8821737796,4882.8493491519,3890.9224179155,1263.4192862146,4882.9691400758,3890.9224179155,37.83399987,75.48799614,23.89853106,-90.00000000,85.00000000,0.00000000,1.3000,nan,nan,nan,
0.8000,1.3000,322,1.222192,101.038202,287.994654,340.202259,-81.73973032,12918.26026968,186825.79128393,-10.02010183,0.00000000,0.00000000,186825.79128393,0.00000000,0.00000000,-126892.08945443,0.00000000,0.00000000,4.60951398,0.00000000,0.00000000,0.47044073,0.00000000,0.00000000,1.29739345,3.41044320,2.81660549,6.02036031,-0.02135574,-0.00194823,0.01769653,0.02214929,-0.02135574,-0.52276815,-5.99762082,1.69634952,4.46742340,3.66192908,-354.37579910,96.59757148,3.66192908,1263.8821737796,4882.8493491519,3890.9224179155,1263.4192862146,4882.9691400758,3890.9224179155,37.83399987,75.48799614,23.89853106,-90.00000000,85.00000000,0.00000000,1.3000,nan,nan,nan,
0.9000,1.3000,322,1.222192,101.038202,287.994654,340.202259,-81.73973032,12918.26026968,186825.79128393,-10.02010183,0.00000000,0.00000000,186825.79128393,0.00000000,0.00000000,-126892.08945443,0.00000000,0.00000000,4.60951398,0.00000000,0.00000000,0.47044073,0.00000000,0.00000000,1.29739345,3.41044320,2.81660549,6.02036031,-0.02135574,-0.00194823,0.01769653,0.02214929,-0.02135574,-0.52276815,-5.99762082,1.69634952,4.46742340,3.66192908,-354.37579910,96.59757148,3.66192908,1263.8821737796,4882.8493491519,3890.9224179155,1263.4192862146,4882.9691400758,3890.9224179155,37.83399987,75.48799614,23.89853106,-90.00000000,85.00000000,0.00000000,1.3000,nan,nan,nan,
